date (D/M/YYYY),station_id,station_name,forecasted_temp,Crop,Temp_Min,Temp_Max,suitability
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Cotton,20,35,0
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Grapes,15,30,1
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Corn,18,27,1
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Avocados,20,30,0
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Berries,10,25,1
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Tomatoes,18,30,1
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Capsicums,20,30,0
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Carrots,16,24,1
11/01/2025,91375,Creesy (Brumbys Creek),19.522666666666684,Potatoes,15,20,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Wheat,15,25,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Cotton,20,35,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Grapes,15,30,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Corn,18,27,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Avocados,20,30,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Berries,10,25,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Tomatoes,18,30,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Capsicums,20,30,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Carrots,16,24,1
12/01/2025,91375,Creesy (Brumbys Creek),20.229000000000035,Potatoes,15,20,0
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Wheat,15,25,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Cotton,20,35,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Grapes,15,30,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Corn,18,27,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Avocados,20,30,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Berries,10,25,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Tomatoes,18,30,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Capsicums,20,30,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Carrots,16,24,1
13/01/2025,91375,Creesy (Brumbys Creek),20.68866666666665,Potatoes,15,20,0
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Wheat,15,25,1
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Cotton,20,35,0
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Grapes,15,30,1
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Corn,18,27,1
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Avocados,20,30,0
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Berries,10,25,1
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Tomatoes,18,30,1
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Capsicums,20,30,0
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Carrots,16,24,1
14/01/2025,91375,Creesy (Brumbys Creek),18.721,Potatoes,15,20,1
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Wheat,15,25,1
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Cotton,20,35,0
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Grapes,15,30,1
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Corn,18,27,1
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Avocados,20,30,0
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Berries,10,25,1
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Tomatoes,18,30,1
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Capsicums,20,30,0
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Carrots,16,24,1
15/01/2025,91375,Creesy (Brumbys Creek),18.45733333333334,Potatoes,15,20,1
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Wheat,15,25,1
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Cotton,20,35,0
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Grapes,15,30,1
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Corn,18,27,0
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Avocados,20,30,0
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Berries,10,25,1
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Tomatoes,18,30,0
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Capsicums,20,30,0
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Carrots,16,24,1
16/01/2025,91375,Creesy (Brumbys Creek),17.589999999999982,Potatoes,15,20,1
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Wheat,15,25,1
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Cotton,20,35,0
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Grapes,15,30,1
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Corn,18,27,0
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Avocados,20,30,0
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Berries,10,25,1
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Tomatoes,18,30,0
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Capsicums,20,30,0
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Carrots,16,24,1
17/01/2025,91375,Creesy (Brumbys Creek),17.072333333333326,Potatoes,15,20,1
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Wheat,15,25,1
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Cotton,20,35,0
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Grapes,15,30,1
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Corn,18,27,0
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Avocados,20,30,0
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Berries,10,25,1
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Tomatoes,18,30,0
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Capsicums,20,30,0
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Carrots,16,24,1
18/01/2025,91375,Creesy (Brumbys Creek),16.047999999999984,Potatoes,15,20,1
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Wheat,15,25,1
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Cotton,20,35,0
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Grapes,15,30,1
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Corn,18,27,0
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Avocados,20,30,0
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Berries,10,25,1
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Tomatoes,18,30,0
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Capsicums,20,30,0
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Carrots,16,24,1
19/01/2025,91375,Creesy (Brumbys Creek),17.908666666666686,Potatoes,15,20,1
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Wheat,15,25,1
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Cotton,20,35,0
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Grapes,15,30,1
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Corn,18,27,0
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Avocados,20,30,0
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Berries,10,25,1
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Tomatoes,18,30,0
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Capsicums,20,30,0
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Carrots,16,24,1
20/01/2025,91375,Creesy (Brumbys Creek),16.63133333333333,Potatoes,15,20,1
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Wheat,15,25,1
